letter,weight,rel_weight,center,rel_center,inertia,rel_inertia
А,258.0,0.20476190476190476,"(19.65891472868217, 21.313953488372093)","(0.5331118493909192, 0.597469220246238)","(23017.56976744186, 15659.98449612403)","(9.1303331088623, 6.211814556177719)"
Ә,353.0,0.30562770562770564,"(18.28611898016997, 18.271954674220964)","(0.5401912181303116, 0.5079986668888519)","(34139.8923512748, 40108.10198300282)","(14.75362677237459, 17.332801202680564)"
Б,355.0,0.37566137566137564,"(13.653521126760563, 19.064788732394366)","(0.4866738894907909, 0.5313173156586578)","(44023.509859154925, 18670.38309859155)","(22.529943633139673, 9.554955526403043)"
В,427.0,0.3935483870967742,"(16.4192037470726, 18.311475409836067)","(0.5139734582357534, 0.5091610414657667)","(48715.5737704918, 32733.962529274006)","(22.285257900499452, 14.974365292440076)"
Г,236.0,0.24973544973544973,"(9.983050847457626, 15.766949152542374)","(0.34550195567144715, 0.4343220338983051)","(32902.182203389835, 7189.93220338983)","(16.838373696719465, 3.67959682875631)"
Ғ,247.0,0.2822857142857143,"(10.380566801619434, 15.906882591093117)","(0.3908569500674764, 0.4384377232674446)","(29858.858299595144, 8430.226720647774)","(16.139923405186565, 4.556879308458256)"
Д,347.0,0.2564671101256467,"(19.755043227665706, 21.302593659942364)","(0.5860951008645533, 0.5075648414985591)","(61255.22766570605, 29308.178674351588)","(22.113800601337925, 10.58056991853848)"
Е,320.0,0.31527093596059114,"(12.990625, 18.078125)","(0.4282366071428571, 0.5022977941176471)","(43603.046875, 16680.971874999996)","(21.10505657066796, 8.074042533881896)"
Ё,372.0,0.2983159582999198,"(13.341397849462366, 22.922043010752688)","(0.44076420890937024, 0.5219534050179211)","(66530.73924731182, 18103.642473118278)","(24.732616820562015, 6.7299786145421105)"
Ж,493.0,0.313015873015873,"(22.892494929006084, 18.636916835699797)","(0.4975567029319565, 0.5187328481088176)","(63552.00811359027, 56663.30223123733)","(19.554464034950854, 17.434862224996102)"
З,228.0,0.2961038961038961,"(14.732456140350877, 17.342105263157894)","(0.6539264828738512, 0.4806501547987616)","(27339.315789473676, 6804.679824561403)","(15.997259092728891, 3.981673390615215)"
И,416.0,0.3395918367346939,"(17.591346153846153, 18.004807692307693)","(0.4879807692307692, 0.5001414027149321)","(50591.990384615376, 42602.528846153844)","(20.649791993720562, 17.388787284144428)"
Й,476.0,0.2956521739130435,"(17.64075630252101, 25.95378151260504)","(0.48943400889767674, 0.5545284780578897)","(81566.9831932773, 45101.569327731086)","(24.41394288933771, 13.499422127426245)"
К,368.0,0.31861471861471863,"(14.513586956521738, 18.58423913043478)","(0.4222995923913043, 0.5171835038363171)","(45659.38858695653, 24789.93206521739)","(19.731801463680437, 10.71302163578971)"
Қ,393.0,0.29046563192904656,"(15.531806615776082, 19.692111959287534)","(0.45411895674300257, 0.46730279898218835)","(53851.74554707379, 30975.852417302798)","(19.441063374394872, 11.182618201192346)"
Л,286.0,0.24761904761904763,"(20.104895104895103, 18.01048951048951)","(0.597027972027972, 0.5003085150143973)","(41666.968531468534, 20624.853146853147)","(18.00646868257067, 8.913073961474998)"
М,479.0,0.31103896103896106,"(23.215031315240083, 17.937369519832984)","(0.5166286352381415, 0.4981579270539113)","(52170.12108559499, 77836.85177453028)","(16.504309106483703, 24.624122674637864)"
Н,381.0,0.3110204081632653,"(18.091863517060368, 18.083989501312335)","(0.5027018681488343, 0.5024702794503628)","(46415.312335958006, 40209.78477690288)","(18.945025443248166, 16.412157051797095)"
Ң,404.0,0.28153310104529616,"(18.95049504950495, 19.202970297029704)","(0.5279557367501456, 0.4550742574257426)","(54855.35643564356, 45209.009900990095)","(18.8765851464706, 15.557126600478353)"
О,344.0,0.29783549783549784,"(16.875, 18.125)","(0.49609375, 0.5036764705882353)","(33345.625, 45491.625)","(14.410382454624028, 19.659302074330164)"
Ө,388.0,0.3359307359307359,"(16.90979381443299, 18.072164948453608)","(0.49718105670103097, 0.5021224984839296)","(33249.97938144329, 47435.842783505155)","(14.36904899803081, 20.499499906441294)"
П,397.0,0.3240816326530612,"(17.51889168765743, 17.256926952141058)","(0.4858497555193362, 0.47814491035708995)","(53971.79345088161, 41959.10831234257)","(22.029303449339434, 17.12616665809901)"
Р,293.0,0.321978021978022,"(13.003412969283277, 15.194539249146757)","(0.48013651877133107, 0.4174864485043164)","(30691.91126279864, 14678.996587030719)","(16.145140064596866, 7.72172361232547)"
С,238.0,0.22666666666666666,"(11.163865546218487, 17.235294117647058)","(0.3504781222833961, 0.47750865051903113)","(29334.82352941176, 19030.609243697476)","(13.804622837370239, 8.955580820563519)"
Т,222.0,0.22653061224489796,"(14.536036036036036, 14.635135135135135)","(0.5013346680013346, 0.40103338632750396)","(32633.445945945943, 6919.211711711712)","(16.243626653034315, 3.4441073726788014)"
